Original File: team_stats.csv
==================================================

# Column Headers:
1. team_name
perc_total_possessions_end_in_opp_half: 48
shots_inside_box: 4
shots_on_target_inside_box: 1
shots_on_target_inside_box_perc: 25
posssessions_end_in_opp_box: 8
perc_total_possessions_end_in_opp_box: 7
shots_outside_box: 3
shots_on_target_outside_box: 0
shots_on_target_outside_box_perc: 0
average_possession_time: 00:12
corners: 3
free_kicks: 2
offsides: 1
total_open_play_possessions: 88
fouls_committed: 13
fouls_drawn: 10
num_short_possessions: 50
yellows: 2
reds: 0
num_medium_possessions: 19
num_long_possessions: 17
num_very_long_possessions: 2
total_attacks: 36
total_attacks_with_shots: 7
total_attacks_to_shot_rate: 19
num_positional_attacks: 27
positional_attacks_with_shots: 6
positional_attacks_to_shot_rate: 22
counters: 0
total_passes_attempted: 298
total_accurate_passes: 228
total_passing_accuracy: 77
total_free_kicks: 2
free_kicks_with_shots: 0
free_kick_shot_perc: 0
forward_passes_attempted: 118
forward_accurate_passes: 78
forward_passing_accuracy: 66
total_corners: 3
corners_with_shots: 0
corner_shot_perc: 0
back_passes_attempted: 45
back_accurate_passes: 44
back_passing_accuracy: 98
lateral_passes_attempted: 86
lateral_accurate_passes: 67
lateral_passing_accuracy: 78
progressive_passes_attempted: 66
progressive_accurate_passes: 51
progressive_passing_accuracy: 77
slide_tackles: 4
long_passes_attempted: 45
long_accurate_passes: 18
long_passing_accuracy: 40
interceptions: 38
fin_third_passes_attempted: 51
fin_third_accurate_passes: 34
fin_third_passing_accuracy: 67
clearances: 26
average_pass_to_final_third_length: 27.3
ppda: 10.3
passes_to_box_attempted: 14
accurate_passes_to_box: 4
passes_to_box_accuracy: 29
shot_assists: 4
total_recoveries: 79
recoveries_own_third: 29
recoveries_mid_third: 40
recoveries_opp_third: 10
recoveries_in_opp_half: 31
total_crosses: 15
accurate_crosses: 6
crossing_accuracy: 40
total_losses: 116
losses_own_third: 19
losses_mid_third: 44
losses_opp_third: 53
low_crosses: 4
high_crosses: 9
blocked_crosses: 2
deep_completions: 4
total_duels: 229
total_duels_won: 106
total_duel_win_rate: 46
average_pass_length: 20.1
offensive_duels: 65
offensive_duels_won: 21
offensive_duels_win_rate: 32
defensive_duels: 83
defensive_duels_won: 43
defensive_duels_win_rate: 52
loose_ball_duels: 26
loose_balls_won: 10
loose_ball_win_rate: 38
aerial_duels: 55
aerial_duels_won: 32
aerial_duel_win_rate: 58
dribbles_attempted: 20
successful_dribbles: 10
dribbling_success_rate: 50.0
challenge_intensity: 5.2
xG: 0.49
possession_time: 22:24
average_shot_dist: 18.7
match_tempo: 13.5

--------------------------------------------------
team_name: Indiana Hoosiers
opponent_team_name: Rutgers Scarlet Knights
match_date: 14-09-2024
competition: NCAA D1 Big Ten Round 1
goals: 1
possession: 56
shots: 14
shots_on_target: 5
num_of_possessions: 116
shots_on_post: 2
shots_blocked: 2
shots_wide: 5
possessions_end_in_opp_half: 71
perc_total_possessions_end_in_opp_half: 61
shots_inside_box: 10
shots_on_target_inside_box: 5
shots_on_target_inside_box_perc: 50
posssessions_end_in_opp_box: 27
perc_total_possessions_end_in_opp_box: 23
shots_outside_box: 4
shots_on_target_outside_box: 0
shots_on_target_outside_box_perc: 0
average_possession_time: 00:15
corners: 7
free_kicks: 3
offsides: 3
total_open_play_possessions: 87
fouls_committed: 11
fouls_drawn: 13
num_short_possessions: 42
yellows: 2
reds: 0
num_medium_possessions: 24
num_long_possessions: 19
num_very_long_possessions: 2
total_attacks: 56
total_attacks_with_shots: 14
total_attacks_to_shot_rate: 25
num_positional_attacks: 39
positional_attacks_with_shots: 12
positional_attacks_to_shot_rate: 31
counters: 0
total_passes_attempted: 416
total_accurate_passes: 331
total_passing_accuracy: 80
total_free_kicks: 3
free_kicks_with_shots: 0
free_kick_shot_perc: 0
forward_passes_attempted: 144
forward_accurate_passes: 101
forward_passing_accuracy: 70
total_corners: 7
corners_with_shots: 0
corner_shot_perc: 0
back_passes_attempted: 59
back_accurate_passes: 55
back_passing_accuracy: 93
lateral_passes_attempted: 162
lateral_accurate_passes: 133
lateral_passing_accuracy: 82
progressive_passes_attempted: 82
progressive_accurate_passes: 57
progressive_passing_accuracy: 70
slide_tackles: 0
long_passes_attempted: 60
long_accurate_passes: 37
long_passing_accuracy: 62
interceptions: 34
fin_third_passes_attempted: 40
fin_third_accurate_passes: 32
fin_third_passing_accuracy: 80
clearances: 15
average_pass_to_final_third_length: 29.9
ppda: 7.0
passes_to_box_attempted: 34
accurate_passes_to_box: 20
passes_to_box_accuracy: 59
shot_assists: 11
total_recoveries: 83
recoveries_own_third: 36
recoveries_mid_third: 31
recoveries_opp_third: 16
recoveries_in_opp_half: 22
total_crosses: 31
accurate_crosses: 10
crossing_accuracy: 32
total_losses: 115
losses_own_third: 18
losses_mid_third: 48
losses_opp_third: 49
low_crosses: 7
high_crosses: 21
blocked_crosses: 3
deep_completions: 14
total_duels: 229
total_duels_won: 110
total_duel_win_rate: 48
average_pass_length: 20.7
offensive_duels: 83
offensive_duels_won: 40
offensive_duels_win_rate: 48
defensive_duels: 65
defensive_duels_won: 44
defensive_duels_win_rate: 68
loose_ball_duels: 26
loose_balls_won: 8
loose_ball_win_rate: 31
aerial_duels: 55
aerial_duels_won: 18
aerial_duel_win_rate: 33
dribbles_attempted: 3
successful_dribbles: 30
dribbling_success_rate: 77.1
challenge_intensity: 5.7
xG: 2.21
possession_time: 29:03
average_shot_dist: 16.0
match_tempo: 14.3

--------------------------------------------------
team_name: Indiana Hoosiers
opponent_team_name: Notre Dame Fighting Irish
match_date: 30-08-2024
competition: NCAA D1 Non-conference matches Regular season
goals: 2
possession: 59
shots: 19
shots_on_target: 9
num_of_possessions: 115
shots_on_post: 1
shots_blocked: 4
shots_wide: 5
possessions_end_in_opp_half: 75
perc_total_possessions_end_in_opp_half: 65
